1,2,3,4,5,6,7,8,9,10,11,12,company,Revenue,yoy_growth,pci,Q2,Q3,Q4,actual_quarter,quarter,Price,sp_index_change
0.057692308,0.048076923,0.125,0.028846154,0.067307692,0.038461538,0.105769231,0.163461538,0.096153846,0.115384615,0.096153846,0.057692308,Walmart,129.67,-0.014366069,-0.449843688,0,0,1,2015Q4,2015Q4,-0.046211296,0.062438274
0.015873016,0.063492063,0.158730159,0.063492063,0.103174603,0.015873016,0.087301587,0.158730159,0.103174603,0.103174603,0.087301587,0.03968254,Walmart,115.9,0.009318122,0.064634066,0,0,0,2016Q1,2016Q1,0.114383339,0.023391929
0,0.09009009,0.207207207,0.036036036,0.081081081,0.036036036,0.072072072,0.153153153,0.081081081,0.162162162,0.018018018,0.063063063,Walmart,120.85,0.005156783,1.172350557,1,0,0,2016Q2,2016Q2,0.057341442,0.012582136
0,0.038461538,0.384615385,0,0.076923077,0.115384615,0,0.115384615,0.153846154,0.038461538,0.038461538,0.038461538,Walmart,118.18,0.006558215,0.332681941,0,1,0,2016Q3,2016Q3,-0.00947672,0.031061128
0.051094891,0.051094891,0.116788321,0.02919708,0.094890511,0.04379562,0.094890511,0.167883212,0.109489051,0.138686131,0.051094891,0.051094891,Walmart,130.94,0.009794093,0.222574197,0,0,1,2016Q4,2016Q4,-0.040133315,0.035919859
0.032967033,0.043956044,0.131868132,0.021978022,0.10989011,0.087912088,0.076923077,0.153846154,0.087912088,0.131868132,0.054945055,0.065934066,Walmart,117.54,0.014150129,0.790736963,0,0,0,2017Q1,2017Q1,0.049810661,0.046456111
0.045081967,0.053278689,0.114754098,0.040983607,0.114754098,0.053278689,0.151639344,0.151639344,0.049180328,0.147540984,0.028688525,0.049180328,Walmart,123.36,0.020769549,0.543517706,1,0,0,2017Q2,2017Q2,0.053598775,0.027373624
0.047619048,0.047619048,0.285714286,0.095238095,0.142857143,0.095238095,0,0.095238095,0.142857143,0.047619048,0,0,Walmart,123.18,0.042308343,0.396615691,0,1,0,2017Q3,2017Q3,0.036889597,0.037196224
0.037037037,0.037037037,0.12962963,0.024691358,0.098765432,0.043209877,0.12962963,0.166666667,0.092592593,0.135802469,0.049382716,0.055555556,Walmart,136.27,0.040705667,0.370629636,0,0,1,2017Q4,2017Q4,0.258763544,0.057130543
0.086206897,0.011494253,0.063218391,0.045977011,0.109195402,0.063218391,0.103448276,0.137931034,0.08045977,0.166666667,0.074712644,0.057471264,Walmart,122.69,0.043814872,0.88611838,0,0,0,2018Q1,2018Q1,-0.097575819,-0.020379775
0.059405941,0.03960396,0.123762376,0.01980198,0.074257426,0.054455446,0.099009901,0.103960396,0.138613861,0.168316832,0.03960396,0.079207921,Walmart,128.03,0.03785668,1.033075567,1,0,0,2018Q2,2018Q2,0.001168907,0.052864579
0,0.041666667,0.333333333,0.083333333,0.041666667,0.166666667,0,0.125,0.208333333,0,0,0,Walmart,124.89,0.013882124,0.327267568,0,1,0,2018Q3,2018Q3,0.11797619,0.068679838
0.023728814,0.044067797,0.138983051,0.054237288,0.091525424,0.027118644,0.084745763,0.230508475,0.071186441,0.13559322,0.040677966,0.057627119,Walmart,138.79,0.018492698,-0.057494736,0,0,1,2018Q4,2018Q4,-0.013241525,-0.142837116
0.068571429,0.034285714,0.082857143,0.037142857,0.108571429,0.034285714,0.125714286,0.165714286,0.042857143,0.182857143,0.062857143,0.054285714,Walmart,123.92,0.010025267,0.335116034,0,0,0,2019Q1,2019Q1,0.044889651,0.129229531
0.058461538,0.033846154,0.101538462,0.033846154,0.070769231,0.027692308,0.08,0.16,0.046153846,0.193846154,0.086153846,0.107692308,Walmart,130.38,0.018355073,1.198513227,1,0,0,2019Q2,2019Q2,0.129523615,0.026008043
0.03626943,0.03626943,0.103626943,0.062176166,0.051813472,0.015544041,0.155440415,0.134715026,0.020725389,0.18134715,0.051813472,0.150259067,Walmart,127.99,0.024821843,0.274166008,0,1,0,2019Q3,2019Q3,0.07286205,0.004186443
0.027472527,0.032967033,0.071428571,0.076923077,0.120879121,0.021978022,0.076923077,0.164835165,0.065934066,0.247252747,0.027472527,0.065934066,Walmart,141.67,0.020750775,0.213017997,0,0,1,2019Q4,2019Q4,0.008400509,0.098811326
0.109589041,0.02739726,0.04109589,0.04109589,0.205479452,0.136986301,0.054794521,0.054794521,0.082191781,0.082191781,0.082191781,0.082191781,Amazon,6.566,0.411739411,0.401415054,0,0,0,2010Q1,2010Q1,0.013965646,0.032162685
0.133333333,0,0,0.088888889,0.2,0.244444444,0,0.022222222,0.111111111,0.022222222,0.022222222,0.155555556,Amazon,7.56,0.387410534,0.475072152,1,0,0,2010Q2,2010Q2,-0.171079584,-0.125108225
0.146341463,0.024390244,0.024390244,0.048780488,0.243902439,0.048780488,0.048780488,0,0.170731707,0.024390244,0.024390244,0.195121951,Amazon,9.857,0.382274576,0.294916321,0,0,1,2010Q4,2010Q4,0.171036367,0.097187326
0.074074074,0.018518519,0.018518519,0,0.296296296,0.240740741,0.018518519,0.055555556,0.111111111,0.055555556,0,0.111111111,Amazon,9.913,0.509747182,1.264822375,0,0,0,2011Q1,2011Q1,-0.022201715,0.04242572
0.071428571,0,0.035714286,0.017857143,0.196428571,0.125,0.017857143,0.071428571,0.178571429,0.071428571,0.071428571,0.142857143,Amazon,10.88,0.439153439,1.743310892,1,0,0,2011Q2,2011Q2,0.135235663,-0.008833617
0.057692308,0.057692308,0.019230769,0.057692308,0.211538462,0.115384615,0.019230769,0.038461538,0.076923077,0.038461538,0.076923077,0.230769231,Amazon,17.43,0.345945946,0.408517984,0,1,0,2011Q3,2011Q3,0.032173373,-0.15544873
0.156862745,0.039215686,0,0.039215686,0.117647059,0.156862745,0.019607843,0.019607843,0.137254902,0.019607843,0.039215686,0.254901961,Amazon,13.18,0.337120828,-0.15205577,0,0,1,2011Q4,2011Q4,-0.18341353,0.144073579
0.147540984,0.032786885,0.049180328,0.049180328,0.262295082,0.098360656,0,0.049180328,0.098360656,0.06557377,0.032786885,0.114754098,Amazon,12.83,0.294260063,0.795638656,0,0,0,2012Q1,2012Q1,0.131151204,0.102900412
0.102040816,0.06122449,0.020408163,0.020408163,0.244897959,0.224489796,0.020408163,0.020408163,0.040816327,0.081632653,0.102040816,0.06122449,Amazon,13.81,0.269301471,0.827531738,1,0,0,2012Q2,2012Q2,0.152991669,-0.040083437
0.037735849,0,0.037735849,0.056603774,0.245283019,0.113207547,0.037735849,0,0.132075472,0.056603774,0.056603774,0.226415094,Amazon,21.27,0.220309811,0.219328148,0,1,0,2012Q3,2012Q3,0.109017966,0.055041706
0.137254902,0.078431373,0.039215686,0.019607843,0.254901961,0.078431373,0.058823529,0,0.156862745,0.039215686,0.039215686,0.098039216,Amazon,16.07,0.219271624,0.03604047,0,0,1,2012Q4,2012Q4,-0.00452363,-0.012668831
0.106382979,0.042553191,0.042553191,0,0.170212766,0.14893617,0,0.106382979,0.042553191,0.063829787,0.042553191,0.234042553,Amazon,15.7,0.223694466,0.590329876,0,0,0,2013Q1,2013Q1,0.03567681,0.073009122
0.064935065,0.103896104,0.038961039,0.051948052,0.181818182,0.038961039,0.038961039,0.103896104,0.090909091,0.090909091,0.012987013,0.181818182,Amazon,17.09,0.237509051,0.540980612,1,0,0,2013Q2,2013Q2,0.06146554,0.028236364
0.074626866,0.059701493,0.029850746,0.089552239,0.208955224,0.089552239,0.014925373,0.014925373,0.119402985,0.059701493,0.044776119,0.194029851,Amazon,25.59,0.203102962,0.377979341,0,1,0,2013Q3,2013Q3,0.108259482,0.041233219
0.085714286,0.057142857,0.014285714,0.071428571,0.2,0.128571429,0,0.028571429,0.071428571,0.028571429,0.142857143,0.171428571,Amazon,19.74,0.228375856,-0.279067646,0,0,1,2013Q4,2013Q4,0.242529989,0.090477876
0.072463768,0.028985507,0.014492754,0.043478261,0.15942029,0.15942029,0.028985507,0.028985507,0.043478261,0.028985507,0.130434783,0.260869565,Amazon,19.34,0.231847134,0.76122253,0,0,0,2014Q1,2014Q1,-0.154785537,0.022030808
0.152542373,0.033898305,0.016949153,0.016949153,0.169491525,0.13559322,0.016949153,0,0.084745763,0.06779661,0.050847458,0.254237288,Amazon,20.58,0.20421299,1.180867814,1,0,0,2014Q2,2014Q2,-0.053091927,0.039623022
0.096774194,0.080645161,0.032258065,0.048387097,0.177419355,0.112903226,0.016129032,0.048387097,0.096774194,0.048387097,0.048387097,0.193548387,Amazon,29.33,0.14615084,0.114675844,0,1,0,2014Q3,2014Q3,-0.029934715,-0.000521963
0.083333333,0.0625,0.020833333,0.020833333,0.166666667,0.104166667,0.083333333,0.083333333,0.104166667,0.083333333,0.0625,0.125,Amazon,22.72,0.150962513,-0.803351757,0,0,1,2014Q4,2014Q4,-0.022396522,0.057929461
0.136363636,0.015151515,0.03030303,0,0.257575758,0.121212121,0.015151515,0.060606061,0.106060606,0.015151515,0.075757576,0.166666667,Amazon,23.18,0.198552223,-0.543199002,0,0,0,2015Q1,2015Q1,0.206080643,0.004707997
0.075268817,0.075268817,0.043010753,0.053763441,0.23655914,0.053763441,0.021505376,0.010752688,0.107526882,0.064516129,0.107526882,0.150537634,Amazon,25.36,0.232264334,1.205595644,1,0,0,2015Q2,2015Q2,0.172424038,0.001660444
0.095238095,0.047619048,0.023809524,0.05952381,0.25,0.071428571,0.011904762,0.05952381,0.095238095,0.142857143,0.023809524,0.119047619,Amazon,35.75,0.21888851,0.262677374,0,1,0,2015Q3,2015Q3,0.17032854,-0.075762244
0.075949367,0.025316456,0.088607595,0.075949367,0.265822785,0.050632911,0.012658228,0.025316456,0.075949367,0.151898734,0,0.151898734,Amazon,29.13,0.282130282,-0.449843688,0,0,1,2015Q4,2015Q4,0.297991243,0.062438274
0.080808081,0.080808081,0,0.03030303,0.242424242,0.080808081,0.03030303,0.070707071,0.101010101,0.080808081,0.04040404,0.161616162,Amazon,30.4,0.31147541,0.064634066,0,0,0,2016Q1,2016Q1,-0.068054444,0.023391929
0.115384615,0.064102564,0.051282051,0.025641026,0.243589744,0.08974359,0.012820513,0.076923077,0.076923077,0.051282051,0.025641026,0.166666667,Amazon,32.71,0.289826498,1.172350557,1,0,0,2016Q2,2016Q2,0.195689223,0.012582136
0.072463768,0.057971014,0.014492754,0.086956522,0.246376812,0.072463768,0.028985507,0.072463768,0.057971014,0.173913043,0.028985507,0.086956522,Amazon,43.74,0.223496503,0.332681941,0,1,0,2016Q3,2016Q3,0.153828134,0.031061128
0.058823529,0.117647059,0,0.014705882,0.367647059,0.088235294,0.014705882,0.073529412,0.029411765,0.044117647,0.044117647,0.147058824,Amazon,35.71,0.225883968,0.222574197,0,0,1,2016Q4,2016Q4,-0.103819586,0.035919859
0.109090909,0.072727273,0.018181818,0.018181818,0.327272727,0.090909091,0.018181818,0.036363636,0.018181818,0.072727273,0.018181818,0.2,Amazon,37.96,0.248684211,0.790736963,0,0,0,2017Q1,2017Q1,0.176297318,0.046456111
0.064516129,0.016129032,0.016129032,0.016129032,0.306451613,0.080645161,0.048387097,0.064516129,0.096774194,0.080645161,0.080645161,0.129032258,Amazon,43.74,0.337205747,0.543517706,1,0,0,2017Q2,2017Q2,0.085798252,0.027373624
0.035087719,0.105263158,0.01754386,0.01754386,0.245614035,0.087719298,0.035087719,0.140350877,0.035087719,0.087719298,0.052631579,0.140350877,Amazon,60.45,0.382030178,0.396615691,0,1,0,2017Q3,2017Q3,0.00806367,0.037196224
0.057142857,0.042857143,0.071428571,0.042857143,0.242857143,0.1,0.071428571,0.085714286,0.014285714,0.014285714,0.071428571,0.185714286,Amazon,51.04,0.429291515,0.370629636,0,0,1,2017Q4,2017Q4,0.219226639,0.057130543
0.014492754,0.101449275,0.057971014,0.072463768,0.275362319,0.086956522,0.043478261,0.043478261,0.057971014,0.101449275,0.014492754,0.130434783,Amazon,52.89,0.393308746,0.88611838,0,0,0,2018Q1,2018Q1,0.217264783,-0.020379775
0.057142857,0.085714286,0.028571429,0.028571429,0.285714286,0.057142857,0.014285714,0.028571429,0.114285714,0.071428571,0.085714286,0.142857143,Amazon,56.58,0.293552812,1.033075567,1,0,0,2018Q2,2018Q2,0.238930313,0.052864579
0.092307692,0.061538462,0.030769231,0.046153846,0.246153846,0.107692308,0.015384615,0.061538462,0.061538462,0.076923077,0.061538462,0.138461538,Amazon,72.38,0.197353184,0.327267568,0,1,0,2018Q3,2018Q3,0.168761451,0.068679838
0.076923077,0.076923077,0.015384615,0.030769231,0.261538462,0.123076923,0.061538462,0.030769231,0.076923077,0.030769231,0.046153846,0.169230769,Amazon,59.7,0.169670846,-0.057494736,0,0,1,2018Q4,2018Q4,-0.250648586,-0.142837116
0.098360656,0.06557377,0.06557377,0,0.278688525,0.06557377,0.081967213,0.06557377,0.098360656,0,0.098360656,0.081967213,Amazon,63.4,0.198714313,0.335116034,0,0,0,2019Q1,2019Q1,0.15698479,0.129229531
0.111111111,0.055555556,0,0,0.333333333,0.092592593,0.092592593,0.074074074,0.037037037,0.037037037,0.037037037,0.12962963,Amazon,69.98,0.236832803,1.198513227,1,0,0,2019Q2,2019Q2,0.043788137,0.026008043
0.109375,0.0625,0,0.03125,0.265625,0.078125,0.0625,0.109375,0.046875,0.0625,0.0625,0.109375,Amazon,87.44,0.208068527,0.274166008,0,1,0,2019Q3,2019Q3,-0.096910295,0.004186443
0.224137931,0.103448276,0.017241379,0.034482759,0,0.086206897,0.017241379,0.103448276,0.034482759,0.24137931,0.120689655,0.017241379,Costco,17.78,0.124604681,0.401415054,0,0,0,2010Q1,2010Q1,0.005217391,0.032162685
0.203883495,0.087378641,0.038834951,0.058252427,0.048543689,0.067961165,0.029126214,0.038834951,0.019417476,0.223300971,0.13592233,0.048543689,Costco,24.12,0.077747989,0.475072152,1,0,0,2010Q2,2010Q2,-0.088300979,-0.125108225
0.186046512,0.069767442,0.034883721,0.046511628,0.046511628,0.104651163,0.023255814,0.046511628,0.011627907,0.186046512,0.151162791,0.093023256,Costco,20.88,0.114194237,0.294916321,0,0,1,2010Q4,2010Q4,0.110069886,0.097187326
0.269230769,0.038461538,0.025641026,0.038461538,0.025641026,0.102564103,0.012820513,0.038461538,0,0.230769231,0.179487179,0.038461538,Costco,20.62,0.159730034,1.264822375,0,0,0,2011Q1,2011Q1,0.011689237,0.04242572
0.216216216,0.013513514,0.013513514,0,0.013513514,0.175675676,0.027027027,0.040540541,0,0.27027027,0.175675676,0.054054054,Costco,28.18,0.168325041,1.743310892,1,0,0,2011Q2,2011Q2,0.094058717,-0.008833617
0.244019139,0.100478469,0.009569378,0.057416268,0.019138756,0.114832536,0.023923445,0.009569378,0.023923445,0.210526316,0.119617225,0.066985646,Costco,22.97,0.100095785,-0.15205577,0,0,1,2011Q4,2011Q4,0.020756866,0.144073579
0.182795699,0.043010753,0.032258065,0.053763441,0.032258065,0.086021505,0.043010753,0.064516129,0.032258065,0.225806452,0.172043011,0.032258065,Costco,22.32,0.082444229,0.795638656,0,0,0,2012Q1,2012Q1,0.073269019,0.102900412
