Date,Open,High,Low,Close,Adj Close,Volume
1/1/2010,53.740002,55.200001,52.509998,53.43,41.504814,291591500
2/1/2010,53.619999,54.5,52.66,54.07,42.001961,278505000
3/1/2010,54.040001,56.27,53.150002,55.599998,43.190491,270764400
4/1/2010,55.75,55.900002,53.52,53.639999,41.902409,282951100
5/1/2010,53.880001,54.950001,50,50.560001,39.496372,398119000
6/1/2010,50.799999,52.080002,48.009998,48.07,37.769035,390548500
7/1/2010,48.099998,51.810001,47.77,51.189999,40.22044,280340800
8/1/2010,51.549999,52.48,50,50.139999,39.395447,272559100
9/1/2010,50.490002,54.389999,50.459999,53.52,42.29615,216284000
10/1/2010,53.599998,54.82,52.93,54.169998,42.809834,208445100
11/1/2010,54.049999,55.720001,53.43,54.09,42.746613,241802400
12/1/2010,54.419998,55.34,53.139999,53.93,42.620167,246182100
1/1/2011,54.23,57.900002,53.540001,56.07,44.556042,260656500
2/1/2011,56.369999,56.73,51.52,51.98,41.305927,276839200
3/1/2011,52.16,53.880001,50.970001,52.049999,41.361538,279247300
4/1/2011,52.25,55.16,51.919998,54.98,43.996094,177992800
5/1/2011,55.080002,56.470001,54.189999,55.220001,44.188156,195699000
6/1/2011,54.98,55.169998,51.790001,53.139999,42.805054,282564700
7/1/2011,53.189999,54.810001,52.669998,52.709999,42.458683,198103900
8/1/2011,52.790001,53.490002,48.310001,53.189999,42.845329,424527100
9/1/2011,53.200001,53.549999,49.939999,51.900002,42.108654,275866100
10/1/2011,51.880001,57.959999,51.630001,56.720001,46.019321,268820500
11/1/2011,55.82,59.400002,55.68,58.900002,47.788044,222113300
12/1/2011,58.639999,60,57.419998,59.759998,48.48579,193606900
1/1/2012,59.970001,62,58.369999,61.360001,50.095016,163577000
2/1/2012,61.790001,62.630001,58.209999,59.080002,48.233601,199314500
3/1/2012,59.360001,61.5,58.639999,61.200001,49.964386,185822200
4/1/2012,61.080002,62.490002,57.18,58.91,48.416317,251787900
5/1/2012,58.950001,66.660004,58.27,65.82,54.095436,247098000
6/1/2012,65.43,69.720001,65.129997,69.720001,57.689072,229264800
7/1/2012,69.599998,75.239998,69.150002,74.43,61.586288,210686500
8/1/2012,74.699997,74.959999,71.349998,72.599998,60.072067,163618500
9/1/2012,72.769997,75.190002,72.57,73.800003,61.394863,121605000
10/1/2012,73.800003,77.599998,73.629997,75.019997,62.409771,144858200
11/1/2012,75.129997,75.160004,67.650002,72.019997,59.914051,193687500
12/1/2012,72.110001,72.699997,67.370003,68.230003,56.761124,198433700
1/1/2013,68.93,70.440002,67.720001,69.949997,58.514523,152007900
2/1/2013,70.110001,71.959999,68.129997,70.779999,59.208817,205455800
3/1/2013,70.779999,75.110001,70.779999,74.830002,62.596741,151456500
4/1/2013,75,79.5,74.900002,77.720001,65.433693,165085800
