"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2020","293.13","301.98","305.00","293.00","3.63M","-4.11%"
"Feb 26, 2020","305.69","307.55","311.30","304.68","2.24M","0.27%"
"Feb 25, 2020","304.87","315.00","316.56","304.40","2.88M","-2.79%"
"Feb 24, 2020","313.62","315.50","320.00","313.26","2.30M","-2.59%"
"Feb 21, 2020","321.95","322.56","325.26","321.03","2.24M","-0.66%"
"Feb 20, 2020","324.08","322.32","325.07","321.01","1.43M","0.33%"
"Feb 19, 2020","323.02","322.08","324.53","321.73","1.41M","0.30%"
"Feb 18, 2020","322.05","319.00","323.48","318.61","1.55M","1.17%"
"Feb 14, 2020","318.31","318.87","319.81","316.95","1.11M","0.03%"
"Feb 13, 2020","318.20","314.85","318.79","313.54","1.44M","0.98%"
"Feb 12, 2020","315.12","310.77","315.48","310.77","1.38M","1.43%"
"Feb 11, 2020","310.68","314.03","314.43","310.47","2.05M","-0.99%"
"Feb 10, 2020","313.79","313.76","316.94","312.60","2.34M","0.05%"
"Feb 07, 2020","313.63","310.00","313.81","309.12","1.90M","0.97%"
"Feb 06, 2020","310.61","309.35","311.84","307.85","1.92M","0.54%"
"Feb 05, 2020","308.95","307.00","309.59","305.40","1.73M","1.33%"
"Feb 04, 2020","304.90","304.57","305.91","302.76","1.98M","0.96%"
"Feb 03, 2020","302.00","307.00","308.58","301.67","2.82M","-1.15%"
"Jan 31, 2020","305.52","308.55","309.18","304.56","1.84M","-1.28%"
"Jan 30, 2020","309.47","308.84","309.64","306.67","1.23M","-0.04%"
"Jan 29, 2020","309.58","310.86","311.97","309.38","1.71M","-0.41%"
"Jan 28, 2020","310.85","310.51","311.71","309.10","1.57M","0.45%"
"Jan 27, 2020","309.45","306.15","311.77","305.65","2.27M","-0.34%"
"Jan 24, 2020","310.51","314.02","314.28","309.10","1.99M","-0.76%"
"Jan 23, 2020","312.88","312.02","313.40","310.73","1.54M","0.32%"
"Jan 22, 2020","311.89","313.40","313.56","310.21","2.22M","-0.44%"
