"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2020","2,375.00","2,373.70","2,400.00","2,316.02","7.93M","-1.38%"
"Apr 16, 2020","2,408.19","2,346.57","2,460.01","2,335.24","12.04M","4.36%"
"Apr 15, 2020","2,307.68","2,256.44","2,333.17","2,246.29","6.87M","1.07%"
"Apr 14, 2020","2,283.32","2,202.72","2,291.98","2,188.10","8.09M","5.28%"
"Apr 13, 2020","2,168.87","2,041.00","2,180.00","2,038.56","6.72M","6.17%"
"Apr 09, 2020","2,042.76","2,045.43","2,053.00","2,017.67","4.66M","-0.01%"
"Apr 08, 2020","2,043.00","2,021.00","2,043.00","2,011.51","3.98M","1.56%"
"Apr 07, 2020","2,011.60","2,017.00","2,035.49","1,998.74","5.11M","0.70%"
"Apr 06, 2020","1,997.59","1,940.56","1,997.59","1,930.13","5.77M","4.77%"
"Apr 03, 2020","1,906.59","1,911.99","1,925.94","1,889.56","3.61M","-0.64%"
"Apr 02, 2020","1,918.83","1,901.06","1,927.38","1,890.00","4.34M","0.58%"
"Apr 01, 2020","1,907.70","1,934.88","1,943.02","1,894.00","4.12M","-2.16%"
"Mar 31, 2020","1,949.72","1,963.00","1,992.79","1,944.84","5.12M","-0.72%"
"Mar 30, 2020","1,963.95","1,922.83","1,973.63","1,912.34","6.13M","3.36%"
"Mar 27, 2020","1,900.10","1,929.99","1,938.13","1,900.01","5.39M","-2.83%"
"Mar 26, 2020","1,955.49","1,903.00","1,955.49","1,890.02","6.24M","3.69%"
"Mar 25, 2020","1,885.84","1,923.24","1,949.02","1,885.84","6.48M","-2.80%"
"Mar 24, 2020","1,940.10","1,941.19","1,954.37","1,901.69","7.15M","1.96%"
"Mar 23, 2020","1,902.83","1,827.75","1,919.40","1,812.00","7.81M","3.07%"
"Mar 20, 2020","1,846.09","1,926.31","1,957.00","1,820.73","9.82M","-1.85%"
"Mar 19, 2020","1,880.93","1,856.67","1,945.00","1,833.45","10.40M","2.78%"
"Mar 18, 2020","1,830.00","1,746.09","1,840.40","1,745.00","9.65M","1.23%"
"Mar 17, 2020","1,807.84","1,775.47","1,857.78","1,689.24","10.92M","7.03%"
"Mar 16, 2020","1,689.15","1,641.51","1,759.45","1,626.03","8.92M","-5.37%"
"Mar 13, 2020","1,785.00","1,755.00","1,786.31","1,680.62","8.81M","6.46%"
"Mar 12, 2020","1,676.61","1,721.98","1,765.00","1,675.00","11.35M","-7.92%"
"Mar 11, 2020","1,820.86","1,857.85","1,871.32","1,801.50","5.65M","-3.75%"
"Mar 10, 2020","1,891.82","1,870.88","1,894.27","1,818.17","7.13M","5.07%"
"Mar 09, 2020","1,800.61","1,773.86","1,862.77","1,761.29","7.81M","-5.29%"
"Mar 06, 2020","1,901.09","1,875.00","1,910.87","1,869.50","5.27M","-1.19%"
"Mar 05, 2020","1,924.03","1,933.00","1,960.72","1,910.00","4.75M","-2.62%"
"Mar 04, 2020","1,975.83","1,946.57","1,978.00","1,922.00","4.77M","3.50%"
"Mar 03, 2020","1,908.99","1,975.37","1,996.33","1,888.09","7.53M","-2.30%"
"Mar 02, 2020","1,953.95","1,906.49","1,954.51","1,870.00","6.76M","3.73%"
"Feb 28, 2020","1,883.75","1,814.63","1,889.76","1,811.13","9.49M","-0.03%"
