,company,Revenue,yoy_growth,reporting_quarter,actual_quarter
173,Target,17.12,0.020262216924910703,2013Q3,2013Q2
75,Amazon,25.59,0.20310296191819477,2013Q4,2013Q3
174,Target,17.26,0.019492025989368056,2013Q4,2013Q3
124,Costco,25.02,0.05480607082630695,2013Q4,2013Q3
224,Kroger,22.47,0.030261348005502064,2013Q4,2013Q3
24,Walmart,115.69,0.016608084358523678,2013Q4,2013Q3
175,Target,20.2,-0.11130664320281569,2014Q1,2013Q4
76,Amazon,19.74,0.22837585563161156,2014Q1,2013Q4
225,Kroger,23.22,-0.033305578684429626,2014Q1,2013Q4
25,Walmart,129.71,0.015104085146345314,2014Q1,2013Q4
125,Costco,26.31,0.05790108564535568,2014Q1,2013Q4
226,Kroger,32.96,0.09866666666666668,2014Q2,2014Q1
176,Target,16.66,-0.0029922202274087484,2014Q2,2014Q1
126,Costco,25.79,0.07101328903654491,2014Q2,2014Q1
77,Amazon,19.34,0.23184713375796173,2014Q2,2014Q1
26,Walmart,114.96,0.007802226702901649,2014Q2,2014Q1
78,Amazon,20.58,0.20421299005266236,2014Q3,2014Q2
177,Target,16.96,-0.009345794392523366,2014Q3,2014Q2
27,Walmart,120.12,0.028160575194727366,2014Q3,2014Q2
227,Kroger,25.31,0.11546936976641686,2014Q3,2014Q2
127,Costco,35.52,0.09325946445060018,2014Q3,2014Q2
178,Target,17.25,-0.0005793742757822518,2014Q4,2014Q3
128,Costco,26.87,0.07394084732214234,2014Q4,2014Q3
228,Kroger,24.99,0.11214953271028039,2014Q4,2014Q3
79,Amazon,29.33,0.14615084017194202,2014Q4,2014Q3
28,Walmart,119.0,0.028610943037427727,2014Q4,2014Q3
29,Walmart,131.56,0.014262585768252123,2015Q1,2014Q4
129,Costco,27.45,0.04332953249714944,2015Q1,2014Q4
229,Kroger,25.21,0.08570198105081839,2015Q1,2014Q4
179,Target,21.75,0.0767326732673268,2015Q1,2014Q4
80,Amazon,22.72,0.15096251266464034,2015Q1,2014Q4
230,Kroger,33.05,0.0027305825242718296,2015Q2,2015Q1
30,Walmart,114.83,-0.0011308281141265697,2015Q2,2015Q1
81,Amazon,23.18,0.19855222337125134,2015Q2,2015Q1
180,Target,17.12,0.027611044417767072,2015Q2,2015Q1
130,Costco,26.1,0.01202016285381946,2015Q2,2015Q1
181,Target,17.43,0.0277122641509433,2015Q3,2015Q2
82,Amazon,25.36,0.2322643343051507,2015Q3,2015Q2
131,Costco,35.78,0.007319819819819662,2015Q3,2015Q2
231,Kroger,25.54,0.009087317265902728,2015Q3,2015Q2
31,Walmart,120.23,0.0009157509157509125,2015Q3,2015Q2
32,Walmart,117.41,-0.013361344537815123,2015Q4,2015Q3
232,Kroger,25.08,0.0036014405762305746,2015Q4,2015Q3
83,Amazon,35.75,0.21888851005796117,2015Q4,2015Q3
132,Costco,27.22,0.013025679196129403,2015Q4,2015Q3
